,rok,OA_benzin,OA_nafta,OA_elektro,NA_benzin,NA_nafta,NA_elektro,T_benzin,T_nafta,T_elektro,BS_benzin,BS_nafta,BS_alektro,km_OA_benzin,km_OA_nafta,km_NA_benzin,km_NA_nafta,km_T_benzin,km_T_nafta,km_BS_benzin,km_BS_nafta,Benzin_pred,Nafta_pred
0,2025,3816667,2827613,25562,73488,712747,20630,44,2236,29,1516,17309,2567,76.33334,56.55226,3.6744,35.63735,0.0055,0.2795,0.12128,1.38472,1689.503103506718,5587.5167214521025
1,2026,3871094,2928624,28150,71516,729496,22339,46,1898,30,1490,17313,2725,77.42188,58.57248,3.5758,36.4748,0.00575,0.23725,0.1192,1.38504,1704.5008407706791,5685.323435212813
2,2027,3925521,3029634,30738,69545,746244,24049,49,1559,30,1464,17317,2882,78.51042,60.59268,3.47725,37.3122,0.006125,0.194875,0.11712,1.38536,1720.416896955201,5783.207633536191
3,2028,3979948,3130645,33326,67573,762992,25759,51,1221,30,1438,17321,3040,79.59896,62.6129,3.37865,38.1496,0.006375,0.152625,0.11504,1.38568,1735.4146342191623,5881.006829583724
4,2029,4034375,3231656,35914,65601,779741,27468,53,883,30,1412,17325,3198,80.6875,64.63312,3.28005,38.98705,0.006625,0.110375,0.11296,1.386,1750.4123714831235,5978.813543344434
